Frame, cxs, cys, ws, hs, areas
1661,143.64326334208224,252.85870516185474,35.0,49.0,762.0
1662,142.43928648183967,252.80249301525896,34.0,49.0,775.5
1663,141.9106796116505,253.02761596548,35.0,49.0,772.5
1664,139.18489437277995,253.09216676014208,38.0,51.0,891.5
1665,140.06093623890234,252.96307506053267,38.0,50.0,826.0
1666,137.35525400139176,254.08994432846205,43.0,50.0,958.0
1667,135.9752886002886,254.51352813852813,45.0,48.0,924.0
1668,137.13150228880565,254.33541406575114,37.0,46.0,801.0
1669,135.57284911370513,254.77215737137914,36.0,46.0,771.0
1670,134.1702077431539,255.0771954674221,36.0,44.0,706.0
1671,132.59270516717325,254.76089159067882,36.0,43.0,658.0
1672,130.41466208476518,254.82159221076745,36.0,40.0,582.0
1673,126.84016523673338,254.23006037496026,27.0,40.0,524.5
1674,124.97411616161615,253.72727272727272,26.0,41.0,528.0
1675,123.50687929956221,253.72045028142588,25.0,41.0,533.0
1676,121.66793529971456,253.4620995876942,24.0,41.0,525.5
1677,120.19830457160155,253.23191038449892,25.0,41.0,550.5
1678,118.86456400742115,252.64502164502161,25.0,40.0,539.0
1679,117.25087887503994,252.29114733141574,26.0,40.0,521.5
1680,115.50715746421268,252.16564417177915,27.0,40.0,489.0
1681,112.58897243107769,252.29752953813104,20.0,40.0,465.5
1682,110.91452034341171,251.43896976483762,20.0,39.0,446.5
1683,109.46887796887796,250.44799344799344,18.0,38.0,407.0
1684,108.58333333333333,249.42270531400968,20.0,36.0,414.0
1685,107.35353535353534,248.74626262626262,20.0,35.0,412.5
1686,106.11543624161074,248.0586129753915,19.0,34.0,372.5
1687,104.89059829059828,247.31666666666666,20.0,37.0,390.0
1688,103.54793315743183,246.9221635883905,20.0,36.0,379.0
1689,101.82387190684133,245.5322658903445,19.0,33.0,343.5
1690,100.34457560427205,245.26138279932547,18.0,32.0,296.5
1691,99.9389604196471,246.2222222222222,19.0,33.0,349.5
